Data;Ano;MesNum;Mês;MesLongo;AnoMes;Periodo;proprietario;proprietario_filtro;Proprietario_Nome_Valido;subdominio;tema;tipo;produtos_digisac;Produto_Curto;card_financeiro;tipo_servico;motivo_downgrade;Situacao_Down;descricao;qtd_servicos;total_up_RS;total_down_RS;Movimento;criacao_url;Tempo_vida_cli;Faixa_Vida
05/01/2026;2026;1;Jan.;janeiro;2026-01;Jan./26;Tadiane Biason;Tadiane Biason;True;refrijet;Upgrade;Não informado;Usuário adicional;Usuário adicional;https://app.pipefy.com/open-cards/1276325313;Migração/Outro;Não informado;Redução de custo;Tipo: Upgrade Produto: 1 usuário adicional Valor: 29,00 URL: refrijet Protocolo: 202601051618144;1;0.0;0.0;Upgrade;;;Não calculado
06/01/2026;2026;1;Jan.;janeiro;2026-01;Jan./26;80401167;Usuário inexistente;False;diroma;Upgrade;Não informado;Usuário adicional;Usuário adicional;https://app.pipefy.com/open-cards/1277591928;Migração/Outro;Não informado;Outros motivos descritos;30/12/2025 Upgrade de 1 usuário - protocolo 202512291614570;1;0.0;0.0;Upgrade;;;Não calculado
06/01/2026;2026;1;Jan.;janeiro;2026-01;Jan./26;82573565;Usuário inexistente;False;alvesequirinoadv;Upgrade;Não informado;Transcrição de Áudio;Transcrição de Áudio;https://app.pipefy.com/open-cards/1277596889;Migração/Outro;Não informado;Outros motivos descritos;Upgrade - IA Transcrição de áudio - Plano 500 minutos R$ 24,90 | Protocolo: 202601061619693;1;0.0;0.0;Upgrade;;;Não calculado
06/01/2026;2026;1;Jan.;janeiro;2026-01;Jan./26;83205771;Usuário inexistente;False;deliverup;Upgrade;Não informado;Servidores;Servidores;https://app.pipefy.com/open-cards/1277476690;Migração/Outro;Não informado;Outros motivos descritos;Upgrade - Servidor 8/12 - 270,00 - Protocolo: 202601051619211;1;0.0;0.0;Upgrade;;;Não calculado
06/01/2026;2026;1;Jan.;janeiro;2026-01;Jan./26;83205771;Usuário inexistente;False;quanton3d;Upgrade;Não informado;Distribuição automática;Distribuição automática;https://app.pipefy.com/open-cards/1277516390;Migração/Outro;Não informado;Outros motivos descritos;Upgrade - PLano Acelera para Plano Base (197,00) - Protocolo: 202601061619857;1;0.0;0.0;Upgrade;;;Não calculado
06/01/2026;2026;1;Jan.;janeiro;2026-01;Jan./26;Guilherme Virgilio Soares;Guilherme Virgilio Soares;True;drexameitaquera;Upgrade;Não informado;Funil de vendas;Funil de vendas;https://app.pipefy.com/open-cards/1277304125;Migração/Outro;Não informado;Outros motivos descritos;- Upgrade: Funil de Vendas - R$89,90;1;0.0;0.0;Upgrade;;;Não calculado
06/01/2026;2026;1;Jan.;janeiro;2026-01;Jan./26;Leticia Silva;Leticia Silva;True;condicionalmoveis;Upgrade;Não informado;Integração;Integração;https://app.pipefy.com/open-cards/1277185946;Migração/Outro;Não informado;Outros motivos descritos;Up Integração Bling (R$ 59,99).;1;0.0;0.0;Upgrade;;;Não calculado
06/01/2026;2026;1;Jan.;janeiro;2026-01;Jan./26;Leticia Silva;Leticia Silva;True;construcasa;Upgrade;Não informado;"Conexão Instagram Direct; Conexão Facebook Messenger";Conexão Instagram Direct + outros;https://app.pipefy.com/open-cards/1277532100;Migração/Outro;Não informado;Outros motivos descritos;Up Conexões Instagram + Facebook (R$60,00 cada).;2;0.0;0.0;Upgrade;;;Não calculado
06/01/2026;2026;1;Jan.;janeiro;2026-01;Jan./26;Leticia Silva;Leticia Silva;True;contazz;Upgrade;Não informado;Servidores;Servidores;https://app.pipefy.com/open-cards/1277213738;Migração/Outro;Não informado;Outros motivos descritos;Up Servidor 2/4 (R$89,00).;1;0.0;0.0;Upgrade;;;Não calculado
06/01/2026;2026;1;Jan.;janeiro;2026-01;Jan./26;Leticia Silva;Leticia Silva;True;maryhelpbarrafunda;Upgrade;Não informado;Chat interno;Chat interno;https://app.pipefy.com/open-cards/1277609224;Migração/Outro;Não informado;Outros motivos descritos;Up Chat Interno (R$ 89,00).;1;0.0;0.0;Upgrade;;;Não calculado
06/01/2026;2026;1;Jan.;janeiro;2026-01;Jan./26;Leticia Silva;Leticia Silva;True;moreiraamorim;Upgrade;Não informado;Primeira ativação de número oficial;Primeira ativação de número oficial;https://app.pipefy.com/open-cards/1277171809;Migração/Outro;Não informado;Outros motivos descritos;Primeira Ativação de Número Oficial;1;0.0;0.0;Upgrade;;;Não calculado
06/01/2026;2026;1;Jan.;janeiro;2026-01;Jan./26;Leticia Silva;Leticia Silva;True;personalclub;Upgrade;Não informado;Servidores;Servidores;https://app.pipefy.com/open-cards/1277324288;Migração/Outro;Não informado;Outros motivos descritos;Up Servidor 2/4 R$89,00.;1;0.0;0.0;Upgrade;;;Não calculado
07/01/2026;2026;1;Jan.;janeiro;2026-01;Jan./26;83205771;Usuário inexistente;False;medialtelemed;Upgrade;Não informado;Pacotes SMS Disparo em Massa;Pacotes SMS Disparo em Massa;https://app.pipefy.com/open-cards/1278287234;Migração/Outro;Não informado;Outros motivos descritos;Upgrade - 500 SMS – **R$ 75,00* - Protocolo: 202601071622480 (0>500);1;0.0;0.0;Upgrade;;;Não calculado
07/01/2026;2026;1;Jan.;janeiro;2026-01;Jan./26;83205771;Usuário inexistente;False;sacassemed;Upgrade;Não informado;Usuário adicional;Usuário adicional;https://app.pipefy.com/open-cards/1278295141;Migração/Outro;Não informado;Outros motivos descritos;Upgrade - 3 Usuários 87,00 - Protocolo:  laura.brumatti@assemed.med.br;1;0.0;0.0;Upgrade;;;Não calculado
07/01/2026;2026;1;Jan.;janeiro;2026-01;Jan./26;83205771;Usuário inexistente;False;vazcarvalhoadv;Upgrade;Não informado;Primeira ativação de número oficial;Primeira ativação de número oficial;https://app.pipefy.com/open-cards/1278251041;Migração/Outro;Não informado;Outros motivos descritos;Primeira ativação Waba - Upgrade - 89,00;1;0.0;0.0;Upgrade;;;Não calculado
07/01/2026;2026;1;Jan.;janeiro;2026-01;Jan./26;Guilherme Virgilio Soares;Guilherme Virgilio Soares;True;attflorida;Upgrade;Não informado;Primeira ativação de número oficial;Primeira ativação de número oficial;https://app.pipefy.com/open-cards/1278233041;Migração/Outro;Não informado;Outros motivos descritos;- Upgrade: Conexão Oficial - R$89,00;1;0.0;0.0;Upgrade;;;Não calculado
07/01/2026;2026;1;Jan.;janeiro;2026-01;Jan./26;Guilherme Virgilio Soares;Guilherme Virgilio Soares;True;egbv;Upgrade;Não informado;Funil de vendas;Funil de vendas;https://app.pipefy.com/open-cards/1278132267;Migração/Outro;Não informado;Outros motivos descritos;- Upgrade: Funil de vendas - R$89,90;1;0.0;0.0;Upgrade;;;Não calculado
07/01/2026;2026;1;Jan.;janeiro;2026-01;Jan./26;Guilherme Virgilio Soares;Guilherme Virgilio Soares;True;equipeead;Upgrade;Não informado;Funil de vendas;Funil de vendas;https://app.pipefy.com/open-cards/1278079704;Migração/Outro;Não informado;Outros motivos descritos;- Upgrade: Funil de vendas - R$89,90;1;0.0;0.0;Upgrade;;;Não calculado
07/01/2026;2026;1;Jan.;janeiro;2026-01;Jan./26;Guilherme Virgilio Soares;Guilherme Virgilio Soares;True;vitorsousa;Upgrade;Não informado;Primeira ativação de número oficial;Primeira ativação de número oficial;https://app.pipefy.com/open-cards/1278165784;Migração/Outro;Não informado;Outros motivos descritos;- Upgrade: Conexão Oficial R$89,00;1;0.0;0.0;Upgrade;;;Não calculado
07/01/2026;2026;1;Jan.;janeiro;2026-01;Jan./26;Leticia Silva;Leticia Silva;True;adornoadvocacia;Upgrade;Não informado;Servidores;Servidores;https://app.pipefy.com/open-cards/1278207877;Migração/Outro;Não informado;Outros motivos descritos;Up Servidor 2/4 (R$89,00).;1;0.0;0.0;Upgrade;;;Não calculado
07/01/2026;2026;1;Jan.;janeiro;2026-01;Jan./26;Leticia Silva;Leticia Silva;True;cruzeironatal;Upgrade;Não informado;Primeira ativação de número oficial;Primeira ativação de número oficial;https://app.pipefy.com/open-cards/1278311243;Migração/Outro;Não informado;Outros motivos descritos;Primeira Ativação de Número Oficial;1;0.0;0.0;Upgrade;;;Não calculado
07/01/2026;2026;1;Jan.;janeiro;2026-01;Jan./26;Leticia Silva;Leticia Silva;True;farmaciavilanova;Upgrade;Não informado;Servidores;Servidores;https://app.pipefy.com/open-cards/1278280318;Migração/Outro;Não informado;Outros motivos descritos;Up Servidor 8/12 (R$270,00).;1;0.0;0.0;Upgrade;;;Não calculado
07/01/2026;2026;1;Jan.;janeiro;2026-01;Jan./26;Leticia Silva;Leticia Silva;True;josianeadv;Upgrade;Não informado;Transcrição de Áudio;Transcrição de Áudio;https://app.pipefy.com/open-cards/1278300212;Migração/Outro;Não informado;Outros motivos descritos;Up Transcrição de Áudio 1.000 min → R$ 49,90.;1;0.0;0.0;Upgrade;;;Não calculado
07/01/2026;2026;1;Jan.;janeiro;2026-01;Jan./26;Luis Siqueira;Luis Siqueira;True;sti3;Upgrade;Não informado;Distribuição automática;Distribuição automática;https://app.pipefy.com/open-cards/1278210696;Migração/Outro;Não informado;Redução de custo;Cliente fez a contratação da distruição automatica no valor de R$ 149,00 mês;1;0.0;0.0;Upgrade;;;Não calculado
07/01/2026;2026;1;Jan.;janeiro;2026-01;Jan./26;Marcela Medeiros;Marcela Medeiros;True;jb;Upgrade;Não informado;Primeira ativação de número oficial;Primeira ativação de número oficial;https://app.pipefy.com/open-cards/1278392453;Migração/Outro;Não informado;Outros motivos descritos;Conexão adicional de WhatsApp;1;0.0;0.0;Upgrade;;;Não calculado
08/01/2026;2026;1;Jan.;janeiro;2026-01;Jan./26;83205771;Usuário inexistente;False;amadvocaciaparamedicos2;Upgrade;Não informado;Funil de vendas;Funil de vendas;https://app.pipefy.com/open-cards/1278892815;Migração/Outro;Não informado;Outros motivos descritos;Up - Funil de vendas - 89,00 - Protocolo: 202601081624104;1;0.0;0.0;Upgrade;;;Não calculado
08/01/2026;2026;1;Jan.;janeiro;2026-01;Jan./26;83205771;Usuário inexistente;False;vendasnobrecon;Upgrade;Não informado;Conexão Instagram Direct;Conexão Instagram Direct;https://app.pipefy.com/open-cards/1278884007;Migração/Outro;Não informado;Outros motivos descritos;Up - Instagram - 89,00 - Protocolo: 202601071623296;1;0.0;0.0;Upgrade;;;Não calculado
08/01/2026;2026;1;Jan.;janeiro;2026-01;Jan./26;Guilherme Virgilio Soares;Guilherme Virgilio Soares;True;lepapp;Upgrade;Não informado;Integração;Integração;https://app.pipefy.com/open-cards/1279442453;Migração/Outro;Não informado;Outros motivos descritos;- Upgrade: Integração RD Station - R$59,99;1;0.0;0.0;Upgrade;;;Não calculado
08/01/2026;2026;1;Jan.;janeiro;2026-01;Jan./26;Guilherme Virgilio Soares;Guilherme Virgilio Soares;True;rslondrina;Upgrade;Não informado;Funil de vendas;Funil de vendas;https://app.pipefy.com/open-cards/1278983085;Migração/Outro;Não informado;Outros motivos descritos;- Upgrade: Funil de vendas - R$89,90;1;0.0;0.0;Upgrade;;;Não calculado
08/01/2026;2026;1;Jan.;janeiro;2026-01;Jan./26;Leticia Silva;Leticia Silva;True;advpaulohenrique;Upgrade;Não informado;Servidores;Servidores;https://app.pipefy.com/open-cards/1278628933;Migração/Outro;Não informado;Outros motivos descritos;Up Servidor 2/4 (R$89,00).;1;0.0;0.0;Upgrade;;;Não calculado
08/01/2026;2026;1;Jan.;janeiro;2026-01;Jan./26;Leticia Silva;Leticia Silva;True;centerlabvet;Upgrade;Não informado;URL;URL;https://app.pipefy.com/open-cards/1278931655;Migração/Outro;Não informado;Outros motivos descritos;Não informado;1;0.0;0.0;Upgrade;;;Não calculado
08/01/2026;2026;1;Jan.;janeiro;2026-01;Jan./26;Leticia Silva;Leticia Silva;True;mercobran;Upgrade;Não informado;Primeira ativação de número oficial;Primeira ativação de número oficial;https://app.pipefy.com/open-cards/1278641913;Migração/Outro;Não informado;Outros motivos descritos;Primeira Ativação de Número Oficial;1;0.0;0.0;Upgrade;;;Não calculado
08/01/2026;2026;1;Jan.;janeiro;2026-01;Jan./26;Leticia Silva;Leticia Silva;True;unesultransportessac;Upgrade;Não informado;Servidores;Servidores;https://app.pipefy.com/open-cards/1278702098;Migração/Outro;Não informado;Outros motivos descritos;"Down Servidor 4/8 / Up Servidor 8/12 (R$ 270,00).;";1;0.0;0.0;Upgrade;;;Não calculado
08/01/2026;2026;1;Jan.;janeiro;2026-01;Jan./26;Leticia Silva;Leticia Silva;True;zeroquarenta;Upgrade;Não informado;Integração;Integração;https://app.pipefy.com/open-cards/1279032782;Migração/Outro;Não informado;Outros motivos descritos;Up Integração RD CRM (R$59,99).;1;0.0;0.0;Upgrade;;;Não calculado
08/01/2026;2026;1;Jan.;janeiro;2026-01;Jan./26;Tadiane Biason;Tadiane Biason;True;liderinteriores;Upgrade;Não informado;Usuário adicional;Usuário adicional;https://app.pipefy.com/open-cards/1278955033;Migração/Outro;Não informado;Redução de custo;Tipo: UPgrade  Produto:2 usuários adicionais  Valor: 29,00 cada = 58,00  URL: liderinteriores;1;0.0;0.0;Upgrade;;;Não calculado
08/01/2026;2026;1;Jan.;janeiro;2026-01;Jan./26;Vitoria Sabadin;Vitoria Sabadin;True;contecpiracicaba;Upgrade;Não informado;Chat interno;Chat interno;https://app.pipefy.com/open-cards/1278895933;Migração/Outro;Não informado;Redução de custo;Chat Interno | R$49,00  Valor ofertado pela ação da retenção;1;0.0;0.0;Upgrade;;;Não calculado
09/01/2026;2026;1;Jan.;janeiro;2026-01;Jan./26;80401167;Usuário inexistente;False;clinicacpo;Upgrade;Não informado;Usuário adicional;Usuário adicional;https://app.pipefy.com/open-cards/1279386896;Migração/Outro;Não informado;Outros motivos descritos;Tipo: Upgrade Produto: 3 usuários URL: clinicacpo Protocolo: 202601081624043;1;0.0;0.0;Upgrade;;;Não calculado
09/01/2026;2026;1;Jan.;janeiro;2026-01;Jan./26;80401167;Usuário inexistente;False;recreioprojetos;Upgrade;Não informado;Primeira ativação de número oficial;Primeira ativação de número oficial;https://app.pipefy.com/open-cards/1279329085;Migração/Outro;Não informado;Outros motivos descritos;Primeiro Número Oficial Conexão WABA / Gupshup / Direct Payment | R$89,00;1;0.0;0.0;Upgrade;;;Não calculado
09/01/2026;2026;1;Jan.;janeiro;2026-01;Jan./26;82573565;Usuário inexistente;False;fmgbrasil;Upgrade;Não informado;IA CSAT;IA CSAT;https://app.pipefy.com/open-cards/1279473682;Migração/Outro;Não informado;Outros motivos descritos;Upgrade - IA CSAT - Plano 1.000 créditos R$ 25,90 | Protocolo: 202601091625445;1;0.0;0.0;Upgrade;;;Não calculado
09/01/2026;2026;1;Jan.;janeiro;2026-01;Jan./26;83205771;Usuário inexistente;False;arqueclinica;Upgrade;Não informado;Conexão Instagram Direct;Conexão Instagram Direct;https://app.pipefy.com/open-cards/1279565859;Migração/Outro;Não informado;Outros motivos descritos;Upgrade - Conexão de Instagram 89,00 - Procolo: 202601081624968;1;0.0;0.0;Upgrade;;;Não calculado
09/01/2026;2026;1;Jan.;janeiro;2026-01;Jan./26;83205771;Usuário inexistente;False;datasystem;Upgrade;Não informado;Usuário adicional;Usuário adicional;https://app.pipefy.com/open-cards/1279472217;Migração/Outro;Não informado;Outros motivos descritos;Up - 1 Usuário 29,00 - Protocolo: 202601081624838;1;0.0;0.0;Upgrade;;;Não calculado
09/01/2026;2026;1;Jan.;janeiro;2026-01;Jan./26;83205771;Usuário inexistente;False;mjmcontabilidade;Upgrade;Não informado;Usuário adicional;Usuário adicional;https://app.pipefy.com/open-cards/1279448082;Migração/Outro;Não informado;Outros motivos descritos;Up - 1 Usuário - 29,00 - protocolo: 202601081624918;1;0.0;0.0;Upgrade;;;Não calculado
09/01/2026;2026;1;Jan.;janeiro;2026-01;Jan./26;83205771;Usuário inexistente;False;premiumdespachante;Upgrade;Não informado;Servidores;Servidores;https://app.pipefy.com/open-cards/1279494254;Migração/Outro;Não informado;Outros motivos descritos;Up - Servidor 2/4 - 89,00 - Protocolo: 202601081624678;1;0.0;0.0;Upgrade;;;Não calculado
09/01/2026;2026;1;Jan.;janeiro;2026-01;Jan./26;Guilherme Virgilio Soares;Guilherme Virgilio Soares;True;benamorodontologia;Upgrade;Não informado;Funil de vendas;Funil de vendas;https://app.pipefy.com/open-cards/1279377070;Migração/Outro;Não informado;Outros motivos descritos;- Upgrade: Funil de vendas - R$89,90;1;0.0;0.0;Upgrade;;;Não calculado
09/01/2026;2026;1;Jan.;janeiro;2026-01;Jan./26;Leticia Silva;Leticia Silva;True;jskcorretora;Upgrade;Não informado;IA Agent;IA Agent;https://app.pipefy.com/open-cards/1279554630;Migração/Outro;Não informado;Outros motivos descritos;Up IA Agente - 1.000 créditos (R$112,90).;1;0.0;0.0;Upgrade;;;Não calculado
09/01/2026;2026;1;Jan.;janeiro;2026-01;Jan./26;Leticia Silva;Leticia Silva;True;lxtelecom;Upgrade;Não informado;Pacotes SMS Disparo em Massa;Pacotes SMS Disparo em Massa;https://app.pipefy.com/open-cards/1279395195;Migração/Outro;Não informado;Outros motivos descritos;Contratação SMS: 2500 SMS – **R$ 250,00** (possui 0).;1;0.0;0.0;Upgrade;;;Não calculado
09/01/2026;2026;1;Jan.;janeiro;2026-01;Jan./26;Leticia Silva;Leticia Silva;True;maramodeladores;Upgrade;Não informado;Conexão Instagram Direct;Conexão Instagram Direct;https://app.pipefy.com/open-cards/1279402861;Migração/Outro;Não informado;Outros motivos descritos;Up Conexão Instagram (R$89,00).;1;0.0;0.0;Upgrade;;;Não calculado
09/01/2026;2026;1;Jan.;janeiro;2026-01;Jan./26;Leticia Silva;Leticia Silva;True;portasmilenar;Upgrade;Não informado;IA Agent;IA Agent;https://app.pipefy.com/open-cards/1279590789;Migração/Outro;Não informado;Outros motivos descritos;Up IA Agente - 1.000 créditos (R$112,90).;1;0.0;0.0;Upgrade;;;Não calculado
09/01/2026;2026;1;Jan.;janeiro;2026-01;Jan./26;Leticia Silva;Leticia Silva;True;projeto60anos;Upgrade;Não informado;IA Agent;IA Agent;https://app.pipefy.com/open-cards/1279635898;Migração/Outro;Não informado;Outros motivos descritos;Up IA Agente - 1.000 créditos (R$112,90).;1;0.0;0.0;Upgrade;;;Não calculado
09/01/2026;2026;1;Jan.;janeiro;2026-01;Jan./26;Leticia Silva;Leticia Silva;True;rubyconect;Upgrade;Não informado;Pacotes SMS Disparo em Massa;Pacotes SMS Disparo em Massa;https://app.pipefy.com/open-cards/1279425221;Migração/Outro;Não informado;Outros motivos descritos;SMS 1000 - R$ 130,00 (possui 26).;1;0.0;0.0;Upgrade;;;Não calculado
09/01/2026;2026;1;Jan.;janeiro;2026-01;Jan./26;Leticia Silva;Leticia Silva;True;saofranciscopet;Upgrade;Não informado;Servidores;Servidores;https://app.pipefy.com/open-cards/1279445298;Migração/Outro;Não informado;Outros motivos descritos;Up Servidor 2/4 (R$89,00).;1;0.0;0.0;Upgrade;;;Não calculado
09/01/2026;2026;1;Jan.;janeiro;2026-01;Jan./26;Leticia Silva;Leticia Silva;True;simplesimobiliaria;Upgrade;Não informado;Integração;Integração;https://app.pipefy.com/open-cards/1279618839;Migração/Outro;Não informado;Outros motivos descritos;Up Integração RD CRM (R$59,99).;1;0.0;0.0;Upgrade;;;Não calculado
09/01/2026;2026;1;Jan.;janeiro;2026-01;Jan./26;Priscila Pavani;Priscila Pavani;True;montecarlo;Upgrade;Não informado;Servidores;Servidores;https://app.pipefy.com/open-cards/1279580635;Migração/Outro;Não informado;Redução de custo;Tipo: Upgrade URL: montecarlo Produto: 1 servidor 4/8 Valor: R$ 169,00 Protocolo: 202601091625787;1;0.0;0.0;Upgrade;;;Não calculado
09/01/2026;2026;1;Jan.;janeiro;2026-01;Jan./26;Vinicius Simões;Vinicius Simões;True;artedosabores;Upgrade;Não informado;Funil de vendas;Funil de vendas;https://app.pipefy.com/open-cards/1279558111;Migração/Outro;Não informado;Outros motivos descritos;Upgrade: - Funil de Vendas - R$ 89,90;1;0.0;0.0;Upgrade;;;Não calculado
09/01/2026;2026;1;Jan.;janeiro;2026-01;Jan./26;Vinicius Simões;Vinicius Simões;True;formulaexatacm;Upgrade;Não informado;Funil de vendas;Funil de vendas;https://app.pipefy.com/open-cards/1279520323;Migração/Outro;Não informado;Outros motivos descritos;Upgrade: - Funil de Vendas - R$ 89,90;1;0.0;0.0;Upgrade;;;Não calculado
09/01/2026;2026;1;Jan.;janeiro;2026-01;Jan./26;Vinicius Simões;Vinicius Simões;True;larissaoliveiraadv;Upgrade;Não informado;Primeira ativação de número oficial;Primeira ativação de número oficial;https://app.pipefy.com/open-cards/1279442846;Migração/Outro;Não informado;Outros motivos descritos;Upgrade: - 1x Conexão adicional de API Oficial do WhatsApp - R$ 89,00;1;0.0;0.0;Upgrade;;;Não calculado
09/01/2026;2026;1;Jan.;janeiro;2026-01;Jan./26;Vinicius Simões;Vinicius Simões;True;quanton3dd;Upgrade;Não informado;Integração;Integração;https://app.pipefy.com/open-cards/1279352416;Migração/Outro;Não informado;Outros motivos descritos;Upgrade: - Integração: Digisac x RD Station CRM - R$ 59,99;1;0.0;0.0;Upgrade;;;Não calculado
09/01/2026;2026;1;Jan.;janeiro;2026-01;Jan./26;Vinicius Simões;Vinicius Simões;True;totalcleanmanaus;Upgrade;Não informado;Primeira ativação de número oficial;Primeira ativação de número oficial;https://app.pipefy.com/open-cards/1279419073;Migração/Outro;Não informado;Outros motivos descritos;Upgrade: - 1x Conexão adicional de WhatsApp API Oficial - R$ 89,00;1;0.0;0.0;Upgrade;;;Não calculado
12/01/2026;2026;1;Jan.;janeiro;2026-01;Jan./26;83205771;Usuário inexistente;False;drmclinic;Upgrade;Não informado;Funil de vendas;Funil de vendas;https://app.pipefy.com/open-cards/1280401469;Migração/Outro;Não informado;Outros motivos descritos;Up - Funil de Vendas - 89,00 - Protocolo: 202601091626411;1;0.0;0.0;Upgrade;;;Não calculado
12/01/2026;2026;1;Jan.;janeiro;2026-01;Jan./26;83205771;Usuário inexistente;False;noraholding;Upgrade;Não informado;Usuário adicional;Usuário adicional;https://app.pipefy.com/open-cards/1280341794;Migração/Outro;Não informado;Outros motivos descritos;Up - 1 Usuário - 6 dólares - Protocolo: 202601051618353;1;0.0;0.0;Upgrade;;;Não calculado
12/01/2026;2026;1;Jan.;janeiro;2026-01;Jan./26;Guilherme Virgilio Soares;Guilherme Virgilio Soares;True;bragancaadv;Upgrade;Não informado;Servidores;Servidores;https://app.pipefy.com/open-cards/1280311641;Migração/Outro;Não informado;Outros motivos descritos;- Upgrade: Servidor 4/8 - R$169,00;1;0.0;0.0;Upgrade;;;Não calculado
12/01/2026;2026;1;Jan.;janeiro;2026-01;Jan./26;Guilherme Virgilio Soares;Guilherme Virgilio Soares;True;mettapromotora;Upgrade;Não informado;Chat interno;Chat interno;https://app.pipefy.com/open-cards/1280650459;Migração/Outro;Não informado;Outros motivos descritos;- Upgrade: Chat Interno - R$89,00;1;0.0;0.0;Upgrade;;;Não calculado
12/01/2026;2026;1;Jan.;janeiro;2026-01;Jan./26;Leticia Silva;Leticia Silva;True;arteformulas;Upgrade;Não informado;Servidores;Servidores;https://app.pipefy.com/open-cards/1280351113;Migração/Outro;Não informado;Outros motivos descritos;Up Servidor 2/4 (R$89,00).;1;0.0;0.0;Upgrade;;;Não calculado
